"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","arch","batch_size","checkpoint_interval","command","dataset","epoch_size","epochs","feature_set","gamma","l1_size","l2_size","learning_rate","method","metric.goal","metric.name","name","notes","num_features","parameters.batch_sizes","parameters.epochss","parameters.feature_sets","parameters.gammas","parameters.l1_sizes","parameters.l2_sizes","parameters.learning_rates","parameters.runs","parameters.wandb_projects","perf_interval","program","puzzle_interval","run","wandb_project","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/bishopEndgame","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleCheck","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/middlegame","Puzzles/moveAccuracy.max","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/lr","Train/samples","Train/train_loss.min","Train/val_loss.min","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"4-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","","finished","-","","","2024-10-03T14:50:09.000Z","9874","hjn7ffgd","4-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v+d1+d2","0.99","512","32","0.0005","eval","","","","","1320","","","","","","","","","","0","","64","4","cs-master-thesis","0.7522388059701492","0.7842920353982301","0.7555555555555555","0.7272727272727273","0.7590361445783133","0.8631578947368421","0.7021276595744681","0.5465116279069767","0.7269279393173198","0.5880681818181818","0.7516339869281046","0.8476190476190476","0.7105263157894737","0.7764705882352941","0.7434426229508196","0.9135802469135802","0.6455696202531646","0.8508771929824561","0.8514851485148515","0.7954545454545454","0.8241758241758241","0.6825396825396826","0.7647058823529411","0.7402745995423341","0.7704402515723271","0.7941176470588235","0.7531806615776081","0.8908943965517241","0.8203592814371258","0.5609756097560976","0.6923076923076923","0.7900552486187845","0.7291666666666666","0.8529411764705882","0.7804878048780488","0.4823529411764706","0.9541284403669724","0.9637096774193548","0.9473684210526316","0.9175257731958762","0.870253164556962","0.7608695652173914","0.6968641114982579","0.518348623853211","0.36464088397790057","0.17582417582417584","0.6946564885496184","0.6168582375478927","0.8715753424657534","0.8681318681318682","0.7922077922077922","0.9032258064516128","0.7560975609756098","0.5104761904761905","0.9318181818181818","0.4470588235294118","0.00003815749195329693","25702039552","0.00300217384526196","0.0030495920988613165","-0.0014749986585229635","-0.006595314480364323","6.147782325744629"
"3-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","","finished","-","","","2024-10-03T12:05:34.000Z","9866","hjn7ffgd","3-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v+d1+d2","0.99","512","32","0.0005","eval","","","","","1320","","","","","","","","","","0","","64","3","cs-master-thesis","0.7701492537313432","0.7964601769911505","0.7777777777777778","0.7454545454545455","0.6987951807228916","0.8736842105263158","0.723404255319149","0.5813953488372093","0.7319848293299621","0.5795454545454546","0.7647058823529411","0.8428571428571429","0.7368421052631579","0.7411764705882353","0.75","0.9012345679012346","0.6708860759493671","0.8713450292397661","0.8316831683168316","0.7613636363636364","0.8681318681318682","0.6666666666666666","0.7529411764705882","0.7494279176201373","0.7955974842767296","0.8333333333333334","0.7675996607294318","0.8914331896551724","0.7784431137724551","0.5670731707317073","0.6742081447963801","0.8066298342541437","0.7916666666666666","0.9705882352941176","0.8048780487804879","0.4941176470588235","0.9541284403669724","0.9798387096774194","0.944078947368421","0.9312714776632304","0.8734177215189873","0.7608695652173914","0.7247386759581882","0.518348623853211","0.3867403314917127","0.16483516483516483","0.7099236641221374","0.6206896551724138","0.877568493150685","0.8351648351648352","0.8441558441558441","0.8924731182795699","0.8170731707317073","0.5161904761904762","0.9090909090909092","0.4705882352941176","0.00003815749195329693","25702039552","0.0030013718466832258","0.0030666954775680176","-0.00252931984141469","-0.011573491618037224","-10.553290367126465"
"2-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","","finished","-","","","2024-10-03T09:23:08.000Z","9738","hjn7ffgd","2-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v+d1+d2","0.99","512","32","0.0005","eval","","","","","1320","","","","","","","","","","0","","64","2","cs-master-thesis","0.746268656716418","0.7997787610619469","0.8","0.7696969696969697","0.6867469879518072","0.8842105263157894","0.7340425531914894","0.5930232558139535","0.7338811630847029","0.6051136363636364","0.7908496732026143","0.8333333333333334","0.7631578947368421","0.7647058823529411","0.7401639344262295","0.9135802469135802","0.6329113924050633","0.868421052631579","0.8118811881188119","0.8068181818181818","0.8791208791208791","0.7063492063492064","0.7764705882352941","0.7517162471395881","0.7955974842767296","0.803921568627451","0.7786259541984732","0.8917025862068966","0.8143712574850299","0.5670731707317073","0.7285067873303167","0.7900552486187845","0.7708333333333334","0.9705882352941176","0.7804878048780488","0.4705882352941176","0.9495412844036696","0.967741935483871","0.950657894736842","0.9450171821305842","0.870253164556962","0.7608695652173914","0.7386759581881533","0.481651376146789","0.39226519337016574","0.21428571428571427","0.6946564885496184","0.6743295019157088","0.8878424657534246","0.8461538461538461","0.8181818181818182","0.8924731182795699","0.7682926829268293","0.5028571428571429","0.8863636363636364","0.4352941176470588","0.00003815749195329693","25702039552","0.0030032449507497515","0.0030524115215322767","-0.0014075592625886202","-0.003744739573448896","13.023430824279783"
"1-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","","finished","-","","","2024-10-03T06:33:36.000Z","10163","hjn7ffgd","1-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v+d1+d2","0.99","512","32","0.0005","eval","","","","","1320","","","","","","","","","","0","","64","1","cs-master-thesis","0.7731343283582089","0.7920353982300885","0.8","0.7272727272727273","0.7469879518072289","0.8736842105263158","0.7340425531914894","0.5813953488372093","0.7402022756005057","0.6107954545454546","0.738562091503268","0.8380952380952381","0.8421052631578947","0.7529411764705882","0.7532786885245901","0.8518518518518519","0.6518987341772152","0.8567251461988304","0.8316831683168316","0.8068181818181818","0.8791208791208791","0.6587301587301587","0.8117647058823529","0.7471395881006865","0.7767295597484277","0.803921568627451","0.7675996607294318","0.8904903017241379","0.7904191616766467","0.6158536585365854","0.6968325791855203","0.7955801104972375","0.75","0.9411764705882352","0.8048780487804879","0.5098039215686274","0.9587155963302753","0.9717741935483872","0.9375","0.9278350515463918","0.8607594936708861","0.7577639751552795","0.7212543554006968","0.5229357798165137","0.40331491712707185","0.22527472527472528","0.7099236641221374","0.6551724137931034","0.8707191780821918","0.8351648351648352","0.8051948051948052","0.8817204301075269","0.7439024390243902","0.5447619047619048","0.9318181818181818","0.4705882352941176","0.00003815749195329693","25702039552","0.003021729318371658","0.0030714968834264873","-0.0008540702401660383","-0.009290813468396664","-10.369872093200684"
"4-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","","finished","-","","","2024-10-03T03:55:04.000Z","9505","hjn7ffgd","4-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+d1+d2","0.99","512","32","0.0005","eval","","","","","1128","","","","","","","","","","0","","64","4","cs-master-thesis","0.7313432835820896","0.8075221238938053","0.7555555555555555","0.7090909090909091","0.7228915662650602","0.8842105263157894","0.7659574468085106","0.5813953488372093","0.7161820480404552","0.5823863636363636","0.7516339869281046","0.8238095238095238","0.7631578947368421","0.6941176470588235","0.7352459016393442","0.9012345679012346","0.6139240506329114","0.8538011695906432","0.8316831683168316","0.7727272727272727","0.8901098901098901","0.7063492063492064","0.7764705882352941","0.7414187643020596","0.7767295597484277","0.8137254901960784","0.7675996607294318","0.8882004310344828","0.8023952095808383","0.5548780487804879","0.6877828054298643","0.7569060773480663","0.7083333333333334","0.9411764705882352","0.8048780487804879","0.4784313725490196","0.944954128440367","0.9717741935483872","0.9342105263157896","0.9140893470790378","0.8734177215189873","0.7484472049689441","0.7317073170731707","0.48623853211009177","0.3812154696132597","0.2032967032967033","0.7251908396946565","0.6475095785440613","0.8835616438356164","0.8461538461538461","0.8311688311688312","0.8924731182795699","0.7804878048780488","0.4876190476190476","0.8863636363636364","0.4705882352941176","0.00003815749195329693","25702039552","0.003038699764733631","0.0030945107522504815","-0.005931459367275238","-0.011102750897407532","9.772889137268066"
"3-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","","finished","-","","","2024-10-03T01:28:27.000Z","8789","hjn7ffgd","3-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+d1+d2","0.99","512","32","0.0005","eval","","","","","1128","","","","","","","","","","0","","64","3","cs-master-thesis","0.7611940298507462","0.7986725663716814","0.7111111111111111","0.7393939393939394","0.7108433734939759","0.8631578947368421","0.7553191489361702","0.5813953488372093","0.7319848293299621","0.625","0.7647058823529411","0.8142857142857143","0.7368421052631579","0.7529411764705882","0.7467213114754099","0.9506172839506172","0.689873417721519","0.8742690058479532","0.8217821782178217","0.8068181818181818","0.8681318681318682","0.6746031746031746","0.7529411764705882","0.7402745995423341","0.7924528301886793","0.8235294117647058","0.7735368956743003","0.8927801724137931","0.8023952095808383","0.573170731707317","0.7058823529411765","0.8287292817679558","0.7291666666666666","0.8823529411764706","0.7560975609756098","0.4862745098039216","0.9541284403669724","0.9596774193548387","0.9342105263157896","0.9484536082474226","0.8670886075949367","0.7795031055900621","0.7073170731707317","0.481651376146789","0.4419889502762431","0.2087912087912088","0.7175572519083969","0.6475095785440613","0.886986301369863","0.8461538461538461","0.8831168831168831","0.9032258064516128","0.8048780487804879","0.5219047619047619","0.9318181818181818","0.4352941176470588","0.00003815749195329693","25702039552","0.0030447018714524015","0.003086742814461814","-0.006673227529972792","-0.009114813059568403","-11.161160469055176"
"2-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","","finished","-","","","2024-10-02T23:15:50.000Z","7950","hjn7ffgd","2-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+d1+d2","0.99","512","32","0.0005","eval","","","","","1128","","","","","","","","","","0","","64","2","cs-master-thesis","0.7432835820895523","0.8163716814159292","0.8","0.7515151515151515","0.7590361445783133","0.8736842105263158","0.7127659574468085","0.6395348837209303","0.7376738305941846","0.6193181818181818","0.7712418300653595","0.861904761904762","0.7631578947368421","0.7529411764705882","0.7450819672131147","0.9506172839506172","0.6582278481012658","0.8654970760233918","0.8316831683168316","0.8409090909090909","0.9010989010989012","0.6825396825396826","0.7411764705882353","0.7745995423340961","0.7924528301886793","0.8333333333333334","0.7930449533502969","0.8962823275862069","0.8263473053892215","0.5670731707317073","0.7330316742081447","0.8066298342541437","0.6875","0.9117647058823528","0.8780487804878049","0.4901960784313726","0.9678899082568808","0.9637096774193548","0.9539473684210528","0.9484536082474226","0.8892405063291139","0.7701863354037267","0.7282229965156795","0.5412844036697247","0.3756906077348066","0.2307692307692308","0.732824427480916","0.6819923371647509","0.8861301369863014","0.8351648351648352","0.8701298701298701","0.9032258064516128","0.8292682926829268","0.5142857142857142","0.9090909090909092","0.4117647058823529","0.00003815749195329693","25702039552","0.003043384182788395","0.003086544931276631","-0.006219310220330954","-0.012929387390613556","-1.1099848747253418"
"1-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","","finished","-","","","2024-10-02T21:08:51.000Z","7614","hjn7ffgd","1-eval_16384_(hv+d1+d2[1128]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+d1+d2","0.99","512","32","0.0005","eval","","","","","1128","","","","","","","","","","0","","64","1","cs-master-thesis","0.7432835820895523","0.7876106194690266","0.8","0.7272727272727273","0.7951807228915663","0.8736842105263158","0.7446808510638298","0.5697674418604651","0.7275600505689002","0.5909090909090909","0.7712418300653595","0.819047619047619","0.7105263157894737","0.7058823529411765","0.7426229508196721","0.9382716049382716","0.6455696202531646","0.847953216374269","0.8316831683168316","0.8181818181818182","0.8901098901098901","0.6428571428571429","0.7529411764705882","0.7494279176201373","0.7861635220125787","0.8137254901960784","0.7633587786259542","0.8908943965517241","0.7904191616766467","0.5365853658536586","0.6832579185520362","0.7900552486187845","0.7291666666666666","0.9117647058823528","0.8292682926829268","0.4862745098039216","0.944954128440367","0.967741935483871","0.9539473684210528","0.9243986254295532","0.8765822784810127","0.7577639751552795","0.7177700348432056","0.4678899082568808","0.3977900552486188","0.1813186813186813","0.7251908396946565","0.632183908045977","0.8767123287671232","0.8461538461538461","0.8311688311688312","0.8924731182795699","0.7926829268292683","0.49523809523809526","0.9545454545454546","0.4470588235294118","0.00003815749195329693","25702039552","0.0030450159606391376","0.003093408013980364","-0.006466866936534643","-0.012600505724549294","-3.650900840759278"
"4-eval_16384_(hv+h+v[960]→512)x2→32→1","","finished","-","","","2024-10-02T19:01:25.000Z","7638","hjn7ffgd","4-eval_16384_(hv+h+v[960]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v","0.99","512","32","0.0005","eval","","","","","960","","","","","","","","","","0","","64","4","cs-master-thesis","0.7522388059701492","0.8086283185840708","0.7777777777777778","0.7212121212121212","0.7590361445783133","0.8631578947368421","0.7127659574468085","0.6395348837209303","0.7338811630847029","0.59375","0.7516339869281046","0.8380952380952381","0.7894736842105263","0.7411764705882353","0.7459016393442623","0.9012345679012346","0.6645569620253164","0.8538011695906432","0.8217821782178217","0.8409090909090909","0.8901098901098901","0.7142857142857143","0.7764705882352941","0.7597254004576659","0.8113207547169812","0.8823529411764706","0.7777777777777778","0.8937230603448276","0.8263473053892215","0.5304878048780488","0.7330316742081447","0.7845303867403315","0.7083333333333334","0.9117647058823528","0.8292682926829268","0.4784313725490196","0.9541284403669724","0.9838709677419356","0.950657894736842","0.9347079037800688","0.8639240506329114","0.7950310559006211","0.710801393728223","0.5045871559633027","0.3756906077348066","0.22527472527472528","0.7557251908396947","0.6590038314176245","0.8818493150684932","0.8571428571428571","0.8961038961038961","0.9247311827956988","0.7804878048780488","0.5161904761904762","0.9318181818181818","0.4352941176470588","0.00003815749195329693","25702039552","0.0030453205936747637","0.0030847866544187145","-0.004192653577774763","-0.008941994979977608","5.460691452026367"
"3-eval_16384_(hv+h+v[960]→512)x2→32→1","","finished","-","","","2024-10-02T16:56:23.000Z","7493","hjn7ffgd","3-eval_16384_(hv+h+v[960]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v","0.99","512","32","0.0005","eval","","","","","960","","","","","","","","","","0","","64","3","cs-master-thesis","0.7582089552238805","0.8030973451327433","0.7777777777777778","0.7696969696969697","0.7469879518072289","0.8315789473684211","0.7340425531914894","0.5930232558139535","0.7364096080910241","0.5994318181818182","0.7712418300653595","0.8666666666666667","0.7894736842105263","0.7411764705882353","0.7442622950819672","0.8888888888888888","0.6835443037974683","0.8713450292397661","0.8316831683168316","0.7954545454545454","0.8901098901098901","0.7063492063492064","0.7529411764705882","0.7528604118993135","0.7924528301886793","0.8137254901960784","0.7777777777777778","0.8910290948275862","0.8203592814371258","0.5304878048780488","0.746606334841629","0.8176795580110497","0.7708333333333334","0.9117647058823528","0.7560975609756098","0.4627450980392157","0.944954128440367","0.9838709677419356","0.9539473684210528","0.9381443298969072","0.8607594936708861","0.8012422360248447","0.7177700348432056","0.48623853211009177","0.40331491712707185","0.19230769230769232","0.7022900763358778","0.6666666666666666","0.884417808219178","0.8901098901098901","0.8051948051948052","0.8924731182795699","0.8048780487804879","0.518095238095238","0.9090909090909092","0.4","0.00003815749195329693","25702039552","0.003045714122891978","0.003079267807704341","-0.004640311934053898","-0.006127317436039448","-0.21956825256347656"
"2-eval_16384_(hv+h+v[960]→512)x2→32→1","","finished","-","","","2024-10-02T14:50:01.000Z","7576","hjn7ffgd","2-eval_16384_(hv+h+v[960]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v","0.99","512","32","0.0005","eval","","","","","960","","","","","","","","","","0","","64","2","cs-master-thesis","0.764179104477612","0.7997787610619469","0.7777777777777778","0.7757575757575758","0.7469879518072289","0.8736842105263158","0.7127659574468085","0.6627906976744186","0.7439949431099874","0.59375","0.7647058823529411","0.8142857142857143","0.7368421052631579","0.788235294117647","0.759016393442623","0.9012345679012346","0.6772151898734177","0.8742690058479532","0.801980198019802","0.8295454545454546","0.8571428571428571","0.6904761904761905","0.8","0.7620137299771167","0.7735849056603774","0.7941176470588235","0.7718405428329093","0.8929148706896551","0.8143712574850299","0.5975609756097561","0.746606334841629","0.8066298342541437","0.7708333333333334","0.8529411764705882","0.7804878048780488","0.4705882352941176","0.9541284403669724","0.9798387096774194","0.9539473684210528","0.9347079037800688","0.8765822784810127","0.8043478260869565","0.7038327526132404","0.5596330275229358","0.36464088397790057","0.1868131868131868","0.7480916030534351","0.6743295019157088","0.8792808219178082","0.8901098901098901","0.7922077922077922","0.8817204301075269","0.7926829268292683","0.5333333333333333","0.9090909090909092","0.4705882352941176","0.00003815749195329693","25702039552","0.0030455871091604474","0.0030815959829856338","-0.003927166573703289","-0.006149540655314922","13.606561660766602"
"1-eval_16384_(hv+h+v[960]→512)x2→32→1","","finished","-","","","2024-10-02T12:44:54.000Z","7502","hjn7ffgd","1-eval_16384_(hv+h+v[960]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v","0.99","512","32","0.0005","eval","","","","","960","","","","","","","","","","0","","64","1","cs-master-thesis","0.7522388059701492","0.7997787610619469","0.7777777777777778","0.7696969696969697","0.7228915662650602","0.8631578947368421","0.723404255319149","0.5465116279069767","0.7275600505689002","0.5965909090909091","0.7712418300653595","0.8523809523809524","0.7894736842105263","0.7764705882352941","0.7385245901639345","0.925925925925926","0.7088607594936709","0.8567251461988304","0.8316831683168316","0.8068181818181818","0.8791208791208791","0.7142857142857143","0.7647058823529411","0.7482837528604119","0.7924528301886793","0.7941176470588235","0.7718405428329093","0.8917025862068966","0.8263473053892215","0.5548780487804879","0.7194570135746606","0.7845303867403315","0.75","0.9117647058823528","0.6829268292682927","0.4745098039215686","0.9541284403669724","0.9717741935483872","0.9473684210526316","0.9347079037800688","0.8734177215189873","0.7888198757763976","0.686411149825784","0.5229357798165137","0.3425414364640884","0.2032967032967033","0.7633587786259542","0.632183908045977","0.875","0.8681318681318682","0.8051948051948052","0.8602150537634409","0.7682926829268293","0.52","0.9090909090909092","0.4705882352941176","0.00003815749195329693","25702039552","0.003041491379853348","0.003086225662707743","-0.004983020480722189","-0.012701716274023056","-11.483623504638672"
"4-eval_16384_(hv[768]→512)x2→32→1","","finished","-","","","2024-10-02T11:14:31.000Z","5418","hjn7ffgd","4-eval_16384_(hv[768]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","512","32","0.0005","eval","","","","","768","","","","","","","","","","0","","64","4","cs-master-thesis","0.7611940298507462","0.8207964601769911","0.7777777777777778","0.7575757575757576","0.6626506024096386","0.8842105263157894","0.7340425531914894","0.6162790697674418","0.7370417193426043","0.6079545454545454","0.7843137254901961","0.8523809523809524","0.868421052631579","0.7529411764705882","0.7491803278688525","0.925925925925926","0.6645569620253164","0.8508771929824561","0.8316831683168316","0.8295454545454546","0.8791208791208791","0.7301587301587301","0.7647058823529411","0.7620137299771167","0.7955974842767296","0.8431372549019608","0.7896522476675149","0.8953394396551724","0.8203592814371258","0.5975609756097561","0.751131221719457","0.7845303867403315","0.6666666666666666","0.9117647058823528","0.8292682926829268","0.4588235294117647","0.9495412844036696","0.9798387096774194","0.9572368421052632","0.9415807560137456","0.8734177215189873","0.7981366459627329","0.7386759581881533","0.5","0.3977900552486188","0.2307692307692308","0.7251908396946565","0.685823754789272","0.8912671232876712","0.9010989010989012","0.8571428571428571","0.8709677419354839","0.7682926829268293","0.5257142857142857","0.9318181818181818","0.4705882352941176","0.00003815749195329693","25702039552","0.0031189963418449033","0.003147431866455948","-0.017527079209685326","-0.00910001341253519","23.39638328552246"
