"Name","Puzzles/accuracy","Puzzles/moveAccuracy (Max)","ID","Agent","State","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","batch-size","batch_size","batches_per_epoch","batches_per_step","checkpoint_interval","command","feature-set","feature_set","ft-size","ft_size","l1-size","l1_size","l2-size","l2_size","learning-rate","learning_rate","max_samples","method","metric.goal","metric.name","name","num_features","parameters.batch-sizes","parameters.feature-sets","parameters.ft-sizes","parameters.l1-sizes","parameters.l2-sizes","parameters.learning-rates","parameters.wandb-projects","program","puzzle_interval","steps","wandb-project","wandb_project","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/anastasiaMate","Puzzles/arabianMate","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/backRankMate","Puzzles/bishopEndgame","Puzzles/bodenMate","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleBishopMate","Puzzles/doubleCheck","Puzzles/dovetailMate","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/hookMate","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/mate","Puzzles/mateIn1","Puzzles/mateIn2","Puzzles/mateIn3","Puzzles/mateIn4","Puzzles/mateIn5","Puzzles/middlegame","Puzzles/oneMove","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating200to399","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rating400to599","Puzzles/rating600to799","Puzzles/rating800to999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/smotheredMate","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/loss","Train/loss.min","Train/lr","Train/samples","Weight/mean-f1","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"eval_16384_half-king-piece[40960]->2048x2->32->32","","0.7908135775862069","e1ai4lpw","","finished","","","train","","2024-08-10T05:14:49.000Z","2024-08-10T11:37:13.000Z","2024-08-10T11:37:13.000Z","22944","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-king-piece","half-king-piece","2048","2048","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5074626865671642","0.6426991150442478","","","0.8","0.6787878787878788","","0.3855421686746988","","0.7473684210526316","0.3723404255319149","0.4534883720930232","0.538558786346397","0.32954545454545453","0.6143790849673203","0.7047619047619048","","0.631578947368421","","0.5647058823529412","0.5057377049180328","0.7530864197530864","0.4430379746835443","0.7719298245614035","0.693069306930693","","0.6590909090909091","0.7802197802197802","0.5793650793650794","0.3647058823529411","0.5606407322654462","0.6257861635220126","0.6470588235294118","","","","","","","0.6335877862595419","","0.7724550898203593","0.3231707317073171","0.5746606334841629","0.5193370165745856","0.3541666666666667","0.7352941176470589","0.5853658536585366","0.15294117647058825","0.9311926605504588","0.9153225806451613","0.8486842105263158","0.7835051546391752","0.6867088607594937","0.5062111801242236","","0.3623693379790941","0.25229357798165136","0.13812154696132595","0.07692307692307693","","","","0.4198473282442748","0.5134099616858238","0.7482876712328768","0.6923076923076923","","0.6753246753246753","0.7634408602150538","0.6097560975609756","0.24761904761904763","0.7727272727272727","0.3176470588235294","","0.010046061041066425","2.0116029294959449e-7","1074790400","-0.011931046843528748","-0.004385222680866718","0.002216358669102192","0.17609865963459015"
"eval_16384_half-king-piece[40960]->1024x2->32->32","","0.7869073275862069","emfptcf2","","finished","","","train","","2024-08-10T01:13:43.000Z","2024-08-10T05:14:38.000Z","2024-08-10T05:14:38.000Z","14455","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-king-piece","half-king-piece","1024","1024","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.47761194029850745","0.6426991150442478","","","0.7333333333333333","0.6848484848484848","","0.3734939759036144","","0.6842105263157895","0.30851063829787234","0.3953488372093023","0.5107458912768648","0.2869318181818182","0.6601307189542484","0.7","","0.6578947368421053","","0.5529411764705883","0.48114754098360657","0.8395061728395061","0.4240506329113924","0.7602339181286549","0.693069306930693","","0.6704545454545454","0.7912087912087912","0.6031746031746031","0.32941176470588235","0.5389016018306636","0.5786163522012578","0.6274509803921569","","","","","","","0.6276505513146734","","0.7724550898203593","0.2621951219512195","0.5429864253393665","0.5027624309392266","0.4166666666666667","0.7352941176470589","0.6097560975609756","0.1725490196078431","0.926605504587156","0.8951612903225806","0.8717105263157895","0.7560137457044673","0.6265822784810127","0.5124223602484472","","0.36585365853658536","0.20642201834862384","0.11049723756906076","0.08241758241758242","","","","0.32061068702290074","0.5057471264367817","0.7363013698630136","0.7252747252747253","","0.6883116883116883","0.8064516129032258","0.5609756097560976","0.24","0.7045454545454546","0.21176470588235297","","0.010020081725087948","0.0000011968839944641788","1074790400","-0.01217299234122038","0.0032400130294263363","-0.006368868052959442","-0.004452425986528397"
"eval_16384_half-king-piece[40960]->512x2->32->32","","0.7904094827586207","4lniy0cp","","finished","","","train","","2024-08-09T23:06:33.000Z","2024-08-10T01:13:37.000Z","2024-08-10T01:13:37.000Z","7624","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-king-piece","half-king-piece","512","512","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5104477611940299","0.6426991150442478","","","0.7111111111111111","0.6848484848484848","","0.3493975903614458","","0.7263157894736842","0.24468085106382975","0.4534883720930232","0.5398230088495575","0.29261363636363635","0.6862745098039216","0.6904761904761905","","0.6578947368421053","","0.6235294117647059","0.5098360655737705","0.7777777777777778","0.47468354430379744","0.7485380116959064","0.6732673267326733","","0.7045454545454546","0.7692307692307693","0.6587301587301587","0.4","0.5640732265446224","0.5880503144654088","0.6274509803921569","","","","","","","0.6344359626802375","","0.7664670658682635","0.3353658536585366","0.5972850678733032","0.5414364640883977","0.3541666666666667","0.7647058823529411","0.5853658536585366","0.19607843137254904","0.9311926605504588","0.8951612903225806","0.8585526315789473","0.7835051546391752","0.6613924050632911","0.5341614906832298","","0.4041811846689896","0.21100917431192664","0.143646408839779","0.08241758241758242","","","","0.366412213740458","0.5095785440613027","0.7345890410958904","0.7472527472527473","","0.6623376623376623","0.7204301075268817","0.5975609756097561","0.28","0.7045454545454546","0.3176470588235294","","0.012266903024283238","9.856854354530129e-8","1074790400","-0.012283478863537312","-0.0035298429429531097","0.0069690244272351265","-0.08927962183952332"
"eval_16384_half-king-piece[40960]->256x2->32->32","","0.7882543103448276","xk4j0i5m","","finished","","","train","","2024-08-09T21:30:32.000Z","2024-08-09T23:06:23.000Z","2024-08-09T23:06:23.000Z","5751","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-king-piece","half-king-piece","256","256","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5104477611940299","0.6371681415929203","","","0.8","0.6848484848484848","","0.27710843373493976","","0.6842105263157895","0.2553191489361702","0.3720930232558139","0.5265486725663717","0.2869318181818182","0.6470588235294118","0.6952380952380952","","0.6842105263157895","","0.6352941176470588","0.5073770491803279","0.7777777777777778","0.43037974683544306","0.7426900584795322","0.6831683168316832","","0.625","0.7912087912087912","0.6111111111111112","0.38823529411764707","0.5274599542334096","0.6194968553459119","0.6274509803921569","","","","","","","0.6183206106870229","","0.7365269461077845","0.3048780487804878","0.5610859728506787","0.5248618784530387","0.4791666666666667","0.6764705882352942","0.5853658536585366","0.18823529411764703","0.926605504587156","0.9032258064516128","0.8519736842105263","0.7457044673539519","0.6645569620253164","0.546583850931677","","0.3763066202090593","0.21559633027522937","0.13812154696132595","0.02197802197802198","","","","0.366412213740458","0.5057471264367817","0.7491438356164384","0.6923076923076923","","0.6493506493506493","0.6989247311827957","0.5487804878048781","0.259047619047619","0.7272727272727273","0.29411764705882354","","0.013436305336654186","2.366630730522683e-8","1074790400","-0.009160041809082031","0.00005416537169367075","0.01260298490524292","-0.035345397889614105"
"eval_16384_half-piece[768]->2048x2->32->32","","0.8530441810344828","nmx4ikai","","finished","","","train","","2024-08-09T20:47:35.000Z","2024-08-09T21:30:26.000Z","2024-08-09T21:30:26.000Z","2571","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-piece","half-piece","2048","2048","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","768","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.582089552238806","0.7511061946902655","","","0.7111111111111111","0.6848484848484848","","0.4939759036144578","","0.8421052631578947","0.7659574468085106","0.46511627906976744","0.6314791403286979","0.5","0.6339869281045751","0.7523809523809524","","0.7105263157894737","","0.7176470588235294","0.6204918032786885","0.8395061728395061","0.5","0.7923976608187134","0.8217821782178217","","0.7045454545454546","0.8461538461538461","0.6587301587301587","0.5058823529411764","0.6613272311212814","0.6886792452830188","0.696078431372549","","","","","","","0.7201017811704835","","0.8323353293413174","0.4207317073170731","0.6380090497737556","0.6022099447513812","0.7291666666666666","0.7941176470588235","0.6585365853658537","0.3058823529411765","0.9495412844036696","0.9516129032258064","0.8914473684210527","0.8797250859106529","0.7848101265822784","0.6987577639751553","","0.5470383275261324","0.3577981651376147","0.23756906077348067","0.13736263736263735","","","","0.5267175572519084","0.5632183908045977","0.836472602739726","0.7582417582417582","","0.7402597402597403","0.8172043010752689","0.6341463414634146","0.3638095238095238","0.7727272727272727","0.4470588235294118","","0.009752468453370966","9.856854354530129e-8","1074790400","-0.034646086394786835","-0.000917506404221058","0.0030944952741265297","-0.0677880346775055"
"eval_16384_half-piece[768]->1024x2->32->32","","0.8442887931034483","nvxpjf46","","finished","","","train","","2024-08-09T20:23:23.000Z","2024-08-09T20:47:28.000Z","2024-08-09T20:47:28.000Z","1445","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-piece","half-piece","1024","1024","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","768","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5970149253731343","0.7466814159292036","","","0.6888888888888889","0.6424242424242425","","0.5060240963855421","","0.8315789473684211","0.648936170212766","0.46511627906976744","0.6080910240202275","0.4346590909090909","0.6209150326797386","0.7476190476190476","","0.631578947368421","","0.7176470588235294","0.5926229508196721","0.8765432098765432","0.5063291139240507","0.8070175438596491","0.8415841584158416","","0.7272727272727273","0.8241758241758241","0.6111111111111112","0.4588235294117647","0.6361556064073226","0.6823899371069182","0.7352941176470589","","","","","","","0.7184054283290925","","0.8263473053892215","0.3597560975609756","0.6470588235294118","0.6243093922651933","0.5625","0.7941176470588235","0.6585365853658537","0.28627450980392155","0.9403669724770642","0.9516129032258064","0.881578947368421","0.8797250859106529","0.7753164556962026","0.6894409937888198","","0.5296167247386759","0.30275229357798167","0.23756906077348067","0.08241758241758242","","","","0.5114503816793893","0.5095785440613027","0.8304794520547946","0.7472527472527473","","0.7532467532467533","0.8602150537634409","0.6585365853658537","0.3466666666666667","0.7954545454545454","0.4","","0.011159040688653477","2.366630730522683e-8","1074790400","-0.027764787897467613","0.0005654711276292801","0.020532572641968727","0.07442481070756912"
"eval_16384_half-piece[768]->512x2->32->32","","0.8382273706896551","0p0bpfir","","finished","","","train","","2024-08-09T20:07:15.000Z","2024-08-09T20:23:18.000Z","2024-08-09T20:23:18.000Z","963","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-piece","half-piece","512","512","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","768","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5432835820895522","0.7555309734513275","","","0.7333333333333333","0.6606060606060606","","0.43373493975903615","","0.8526315789473684","0.7340425531914894","0.43023255813953487","0.6036662452591656","0.4914772727272727","0.6209150326797386","0.7666666666666667","","0.6578947368421053","","0.7294117647058823","0.5770491803278689","0.8518518518518519","0.5063291139240507","0.8157894736842105","0.7920792079207921","","0.7727272727272727","0.8571428571428571","0.626984126984127","0.5058823529411764","0.6430205949656751","0.6792452830188679","0.6470588235294118","","","","","","","0.7336726039016115","","0.8203592814371258","0.3170731707317073","0.665158371040724","0.5911602209944752","0.6458333333333334","0.7647058823529411","0.6829268292682927","0.2823529411764706","0.9220183486238532","0.9112903225806452","0.8947368421052632","0.8797250859106529","0.7689873417721519","0.6708074534161491","","0.5365853658536586","0.3256880733944954","0.2320441988950276","0.14285714285714285","","","","0.5114503816793893","0.5210727969348659","0.8236301369863014","0.7362637362637363","","0.7012987012987013","0.8602150537634409","0.6829268292682927","0.3485714285714286","0.7954545454545454","0.3411764705882353","","0.012719773381832056","2.366630730522683e-8","1074790400","-0.025726210325956345","-0.0004245620220899582","0.006790569052100182","-0.004387504421174526"
"eval_16384_half-piece[768]->256x2->32->32","","0.8238146551724138","jpw9na7b","","finished","","","train","","2024-08-09T19:54:44.000Z","2024-08-09T20:07:07.000Z","2024-08-09T20:07:07.000Z","743","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","16384","16384","","","16","","half-piece","half-piece","256","256","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","768","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5492537313432836","0.7112831858407079","","","0.6666666666666666","0.5757575757575758","","0.40963855421686746","","0.7894736842105263","0.6914893617021277","0.43023255813953487","0.5821744627054362","0.4318181818181818","0.6013071895424836","0.7333333333333333","","0.6578947368421053","","0.6705882352941176","0.5573770491803278","0.8888888888888888","0.44936708860759494","0.7923976608187134","0.7623762376237624","","0.7159090909090909","0.8351648351648352","0.5634920634920635","0.4941176470588235","0.6155606407322655","0.6666666666666666","0.6862745098039216","","","","","","","0.6997455470737913","","0.7844311377245509","0.32926829268292684","0.6289592760180995","0.5966850828729282","0.5416666666666666","0.7647058823529411","0.5853658536585366","0.23137254901960785","0.9311926605504588","0.9153225806451613","0.9046052631578948","0.8350515463917526","0.75","0.6304347826086957","","0.5156794425087108","0.28440366972477066","0.16574585635359115","0.04395604395604396","","","","0.4809160305343512","0.46360153256704983","0.8056506849315068","0.7362637362637363","","0.7142857142857143","0.8279569892473119","0.6585365853658537","0.29904761904761906","0.75","0.35294117647058826","","0.014928678749129176","2.366630730522683e-8","1074790400","-0.018746504560112953","-0.0017295264406129718","0.005377479363232851","-0.02763255313038826"
"eval_8192_half-king-piece[40960]->2048x2->32->32","","0.7920258620689655","qjk7jg3w","","finished","","","train","","2024-08-09T14:05:40.000Z","2024-08-09T19:54:35.000Z","2024-08-09T19:54:35.000Z","20935","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","8192","8192","","","16","","half-king-piece","half-king-piece","2048","2048","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.5134328358208955","0.625","","","0.7777777777777778","0.7090909090909091","","0.42168674698795183","","0.6736842105263158","0.30851063829787234","0.3953488372093023","0.5322376738305942","0.2869318181818182","0.5882352941176471","0.6904761904761905","","0.6578947368421053","","0.6235294117647059","0.4926229508196721","0.7777777777777778","0.4240506329113924","0.7660818713450293","0.6435643564356436","","0.6363636363636364","0.8021978021978022","0.6428571428571429","0.35294117647058826","0.5469107551487414","0.6037735849056604","0.6470588235294118","","","","","","","0.6259541984732825","","0.7784431137724551","0.2926829268292683","0.5520361990950227","0.5414364640883977","0.4583333333333333","0.6764705882352942","0.6341463414634146","0.1803921568627451","0.908256880733945","0.8991935483870968","0.8585526315789473","0.7697594501718213","0.6645569620253164","0.5341614906832298","","0.3693379790940767","0.22935779816513763","0.10497237569060772","0.038461538461538464","","","","0.3816793893129771","0.5057471264367817","0.7422945205479452","0.6923076923076923","","0.7142857142857143","0.7526881720430108","0.5975609756097561","0.23809523809523808","0.75","0.32941176470588235","","0.009911024739267305","0.000002442620396865671","1074790400","-0.013776336796581743","-0.005360618233680725","-0.0013889498077332971","0.025919901207089424"
"eval_8192_half-king-piece[40960]->1024x2->32->32","","0.7834051724137931","1n2b9dez","","finished","","","train","","2024-08-09T10:50:25.000Z","2024-08-09T14:05:31.000Z","2024-08-09T14:05:31.000Z","11706","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","8192","8192","","","16","","half-king-piece","half-king-piece","1024","1024","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.4985074626865671","0.6316371681415929","","","0.8","0.6848484848484848","","0.2891566265060241","","0.6947368421052632","0.32978723404255317","0.3720930232558139","0.5208596713021492","0.2528409090909091","0.5882352941176471","0.719047619047619","","0.631578947368421","","0.6470588235294118","0.4901639344262295","0.7777777777777778","0.4430379746835443","0.7719298245614035","0.6633663366336634","","0.6931818181818182","0.8131868131868132","0.5873015873015873","0.3058823529411765","0.5469107551487414","0.550314465408805","0.5588235294117647","","","","","","","0.6166242578456319","","0.7904191616766467","0.29878048780487804","0.5701357466063348","0.5414364640883977","0.4375","0.7352941176470589","0.5853658536585366","0.16470588235294115","0.9220183486238532","0.8790322580645161","0.8289473684210527","0.7594501718213058","0.6487341772151899","0.5248447204968945","","0.3867595818815331","0.22018348623853212","0.10497237569060772","0.07692307692307693","","","","0.3740458015267176","0.5057471264367817","0.7268835616438356","0.7032967032967034","","0.5584415584415584","0.7419354838709677","0.6097560975609756","0.2495238095238095","0.7272727272727273","0.27058823529411763","","0.010430561924295034","5.864731572874476e-7","1074790400","-0.016904523596167564","0.007755025289952755","-0.006601488217711449","-0.04487323760986328"
"eval_8192_half-king-piece[40960]->512x2->32->32","","0.7882543103448276","1lk6ojb8","","finished","","","train","","2024-08-09T08:44:48.000Z","2024-08-09T10:50:19.000Z","2024-08-09T10:50:19.000Z","7531","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","8192","8192","","","16","","half-king-piece","half-king-piece","512","512","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.4716417910447761","0.6349557522123894","","","0.6888888888888889","0.703030303030303","","0.30120481927710846","","0.6736842105263158","0.22340425531914893","0.36046511627906974","0.5170670037926675","0.2897727272727273","0.6535947712418301","0.6761904761904762","","0.5263157894736842","","0.6235294117647059","0.4967213114754098","0.8024691358024691","0.4556962025316456","0.7339181286549707","0.6435643564356436","","0.6590909090909091","0.7802197802197802","0.5952380952380952","0.3764705882352941","0.5308924485125858","0.6037735849056604","0.5882352941176471","","","","","","","0.6166242578456319","","0.7425149700598802","0.3231707317073171","0.583710407239819","0.5303867403314917","0.4375","0.7058823529411765","0.6585365853658537","0.1725490196078431","0.908256880733945","0.907258064516129","0.8585526315789473","0.7457044673539519","0.6582278481012658","0.5186335403726708","","0.3623693379790941","0.19724770642201836","0.1270718232044199","0.06043956043956044","","","","0.35877862595419846","0.49808429118773945","0.7345890410958904","0.7142857142857143","","0.6103896103896104","0.7634408602150538","0.5487804878048781","0.2571428571428571","0.7272727272727273","0.3176470588235294","","0.01217168841685634","9.856854354530129e-8","1074790400","-0.015538430772721767","-0.0012454665265977385","0.0010028643300756812","-0.02549883723258972"
"eval_8192_half-king-piece[40960]->256x2->32->32","","0.7878502155172413","mh1wspq1","","finished","","","train","","2024-08-09T07:11:41.000Z","2024-08-09T08:44:40.000Z","2024-08-09T08:44:40.000Z","5579","5j1lqfku","DESKTOP-3UFOC32","","6e7bfd46228587e48edc7a762ebf5cb3704f5521","","","","8192","8192","","","16","","half-king-piece","half-king-piece","256","256","32","32","32","32","0.0015","0.0015","1073741824","eval","","","","40960","","","","","","","","","32","1024","cs-master-thesis","cs-master-thesis","0.4835820895522388","0.6216814159292036","","","0.7333333333333333","0.6606060606060606","","0.3493975903614458","","0.7052631578947368","0.2978723404255319","0.3372093023255814","0.5252844500632111","0.29261363636363635","0.6470588235294118","0.6904761904761905","","0.5526315789473685","","0.5764705882352941","0.49918032786885247","0.7654320987654321","0.4240506329113924","0.7368421052631579","0.6237623762376238","","0.6590909090909091","0.7912087912087912","0.6111111111111112","0.4117647058823529","0.5446224256292906","0.5880503144654088","0.5588235294117647","","","","","","","0.6157760814249363","","0.7125748502994012","0.3048780487804878","0.579185520361991","0.5138121546961326","0.3541666666666667","0.7352941176470589","0.6097560975609756","0.1568627450980392","0.9311926605504588","0.8991935483870968","0.8486842105263158","0.7319587628865979","0.6329113924050633","0.5341614906832298","","0.3797909407665505","0.2018348623853211","0.09392265193370164","0.08791208791208792","","","","0.35877862595419846","0.4521072796934866","0.7328767123287672","0.7472527472527473","","0.6233766233766234","0.7956989247311828","0.5853658536585366","0.2342857142857143","0.75","0.29411764705882354","","0.013754882500506938","2.366630730522683e-8","1074790400","-0.01555720902979374","-0.001346890232525766","0.015338554978370668","0.08686140924692154"
